index;action;size;isElectric;isDisabled;isSuccess;hour;smallFreeSpaces;mediumFreeSpaces;largeFreeSpaces
0;2;-1;-1;-1;1;0;339;300;360
1;2;-1;-1;-1;1;0;339;300;360
2;2;-1;-1;-1;1;0;339;300;360
3;2;-1;-1;-1;1;0;339;300;360
4;2;-1;-1;-1;1;0;339;300;360
5;2;-1;-1;-1;1;0;339;300;360
6;2;-1;-1;-1;1;0;339;300;360
7;2;-1;-1;-1;1;0;339;300;360
8;2;-1;-1;-1;1;0;339;300;360
9;2;-1;-1;-1;1;0;339;300;360
10;2;-1;-1;-1;1;0;339;300;360
11;2;-1;-1;-1;1;0;339;300;360
12;2;-1;-1;-1;1;0;339;300;360
13;2;-1;-1;-1;1;0;339;300;360
14;2;-1;-1;-1;1;0;339;300;360
15;2;-1;-1;-1;1;0;339;300;360
16;2;-1;-1;-1;1;0;339;300;360
17;2;-1;-1;-1;1;0;339;300;360
18;2;-1;-1;-1;1;0;339;300;360
19;2;-1;-1;-1;1;0;339;300;360
20;2;-1;-1;-1;1;0;339;300;360
21;2;-1;-1;-1;1;0;339;300;360
22;2;-1;-1;-1;1;0;339;300;360
23;2;-1;-1;-1;1;0;339;300;360
24;2;-1;-1;-1;1;0;339;300;360
25;2;-1;-1;-1;1;0;339;300;360
26;2;-1;-1;-1;1;0;339;300;360
27;2;-1;-1;-1;1;0;339;300;360
28;2;-1;-1;-1;1;0;339;300;360
29;2;-1;-1;-1;1;0;339;300;360
30;2;-1;-1;-1;1;0;339;300;360
31;0;2;1;1;1;0;339;300;359
32;0;0;0;0;1;0;338;300;359
33;2;-1;-1;-1;1;0;338;300;359
34;2;-1;-1;-1;1;0;338;300;359
35;2;-1;-1;-1;1;0;338;300;359
36;2;-1;-1;-1;1;0;338;300;359
37;2;-1;-1;-1;1;0;338;300;359
38;2;-1;-1;-1;1;0;338;300;359
39;2;-1;-1;-1;1;0;338;300;359
40;2;-1;-1;-1;1;0;338;300;359
41;2;-1;-1;-1;1;0;338;300;359
42;0;2;0;1;1;0;338;300;358
43;0;2;1;1;1;0;338;300;357
44;2;-1;-1;-1;1;0;338;300;357
45;2;-1;-1;-1;1;0;338;300;357
46;2;-1;-1;-1;1;0;338;300;357
47;2;-1;-1;-1;1;0;338;300;357
48;2;-1;-1;-1;1;0;338;300;357
49;2;-1;-1;-1;1;0;338;300;357
50;2;-1;-1;-1;1;0;338;300;357
51;2;-1;-1;-1;1;0;338;300;357
52;0;2;0;0;1;0;338;300;356
53;2;-1;-1;-1;1;0;338;300;356
54;2;-1;-1;-1;1;0;338;300;356
55;2;-1;-1;-1;1;0;338;300;356
56;2;-1;-1;-1;1;0;338;300;356
57;2;-1;-1;-1;1;0;338;300;356
58;2;-1;-1;-1;1;0;338;300;356
59;2;-1;-1;-1;1;0;338;300;356
60;2;-1;-1;-1;1;0;338;300;356
61;2;-1;-1;-1;1;0;338;300;356
62;2;-1;-1;-1;1;0;338;300;356
63;2;-1;-1;-1;1;0;338;300;356
64;2;-1;-1;-1;1;0;338;300;356
65;2;-1;-1;-1;1;0;338;300;356
66;2;-1;-1;-1;1;0;338;300;356
67;2;-1;-1;-1;1;0;338;300;356
68;2;-1;-1;-1;1;0;338;300;356
69;2;-1;-1;-1;1;0;338;300;356
70;2;-1;-1;-1;1;0;338;300;356
71;2;-1;-1;-1;1;0;338;300;356
72;2;-1;-1;-1;1;0;338;300;356
73;2;-1;-1;-1;1;0;338;300;356
74;2;-1;-1;-1;1;0;338;300;356
75;2;-1;-1;-1;1;0;338;300;356
76;2;-1;-1;-1;1;0;338;300;356
77;2;-1;-1;-1;1;0;338;300;356
78;2;-1;-1;-1;1;0;338;300;356
79;2;-1;-1;-1;1;0;338;300;356
80;2;-1;-1;-1;1;0;338;300;356
81;2;-1;-1;-1;1;0;338;300;356
82;2;-1;-1;-1;1;0;338;300;356
83;2;-1;-1;-1;1;0;338;300;356
84;2;-1;-1;-1;1;0;338;300;356
85;2;-1;-1;-1;1;0;338;300;356
86;2;-1;-1;-1;1;0;338;300;356
87;0;1;1;0;1;0;338;300;355
88;2;-1;-1;-1;1;0;338;300;355
89;2;-1;-1;-1;1;0;338;300;355
90;2;-1;-1;-1;1;0;338;300;355
91;2;-1;-1;-1;1;0;338;300;355
92;2;-1;-1;-1;1;0;338;300;355
93;2;-1;-1;-1;1;0;338;300;355
94;2;-1;-1;-1;1;0;338;300;355
95;2;-1;-1;-1;1;0;338;300;355
96;2;-1;-1;-1;1;0;338;300;355
97;2;-1;-1;-1;1;0;338;300;355
98;2;-1;-1;-1;1;0;338;300;355
99;2;-1;-1;-1;1;0;338;300;355
100;2;-1;-1;-1;1;0;338;300;355
101;2;-1;-1;-1;1;0;338;300;355
102;2;-1;-1;-1;1;0;338;300;355
103;2;-1;-1;-1;1;0;338;300;355
104;2;-1;-1;-1;1;0;338;300;355
105;2;-1;-1;-1;1;0;338;300;355
106;2;-1;-1;-1;1;0;338;300;355
107;2;-1;-1;-1;1;0;338;300;355
108;2;-1;-1;-1;1;0;338;300;355
109;2;-1;-1;-1;1;0;338;300;355
110;0;2;0;1;1;0;338;300;354
111;2;-1;-1;-1;1;0;338;300;354
112;2;-1;-1;-1;1;0;338;300;354
113;2;-1;-1;-1;1;0;338;300;354
114;2;-1;-1;-1;1;0;338;300;354
115;2;-1;-1;-1;1;0;338;300;354
116;2;-1;-1;-1;1;0;338;300;354
117;2;-1;-1;-1;1;0;338;300;354
118;2;-1;-1;-1;1;0;338;300;354
119;2;-1;-1;-1;1;0;338;300;354
120;2;-1;-1;-1;1;0;338;300;354
121;2;-1;-1;-1;1;0;338;300;354
122;2;-1;-1;-1;1;0;338;300;354
123;2;-1;-1;-1;1;0;338;300;354
124;2;-1;-1;-1;1;0;338;300;354
125;2;-1;-1;-1;1;0;338;300;354
126;2;-1;-1;-1;1;0;338;300;354
127;0;1;1;1;1;0;338;300;353
128;2;-1;-1;-1;1;0;338;300;353
129;2;-1;-1;-1;1;0;338;300;353
130;2;-1;-1;-1;1;0;338;300;353
131;2;-1;-1;-1;1;0;338;300;353
132;2;-1;-1;-1;1;0;338;300;353
133;2;-1;-1;-1;1;0;338;300;353
134;2;-1;-1;-1;1;0;338;300;353
135;2;-1;-1;-1;1;0;338;300;353
136;2;-1;-1;-1;1;0;338;300;353
137;2;-1;-1;-1;1;0;338;300;353
138;2;-1;-1;-1;1;0;338;300;353
139;2;-1;-1;-1;1;0;338;300;353
140;2;-1;-1;-1;1;0;338;300;353
141;2;-1;-1;-1;1;0;338;300;353
142;2;-1;-1;-1;1;0;338;300;353
143;2;-1;-1;-1;1;0;338;300;353
144;2;-1;-1;-1;1;0;338;300;353
145;2;-1;-1;-1;1;0;338;300;353
146;2;-1;-1;-1;1;0;338;300;353
147;2;-1;-1;-1;1;0;338;300;353
148;2;-1;-1;-1;1;0;338;300;353
149;2;-1;-1;-1;1;0;338;300;353
150;2;-1;-1;-1;1;0;338;300;353
151;2;-1;-1;-1;1;0;338;300;353
152;2;-1;-1;-1;1;0;338;300;353
153;2;-1;-1;-1;1;0;338;300;353
154;2;-1;-1;-1;1;0;338;300;353
155;2;-1;-1;-1;1;0;338;300;353
156;2;-1;-1;-1;1;0;338;300;353
157;2;-1;-1;-1;1;0;338;300;353
158;2;-1;-1;-1;1;0;338;300;353
159;2;-1;-1;-1;1;0;338;300;353
160;2;-1;-1;-1;1;0;338;300;353
161;2;-1;-1;-1;1;0;338;300;353
162;2;-1;-1;-1;1;0;338;300;353
163;0;0;1;1;1;0;338;300;352
164;2;-1;-1;-1;1;0;338;300;352
165;2;-1;-1;-1;1;0;338;300;352
166;2;-1;-1;-1;1;0;338;300;352
167;2;-1;-1;-1;1;0;338;300;352
168;2;-1;-1;-1;1;0;338;300;352
169;2;-1;-1;-1;1;0;338;300;352
170;2;-1;-1;-1;1;0;338;300;352
171;2;-1;-1;-1;1;0;338;300;352
172;2;-1;-1;-1;1;0;338;300;352
173;2;-1;-1;-1;1;0;338;300;352
174;2;-1;-1;-1;1;0;338;300;352
175;2;-1;-1;-1;1;0;338;300;352
176;2;-1;-1;-1;1;0;338;300;352
177;2;-1;-1;-1;1;0;338;300;352
178;2;-1;-1;-1;1;0;338;300;352
179;2;-1;-1;-1;1;0;338;300;352
180;2;-1;-1;-1;1;0;338;300;352
181;2;-1;-1;-1;1;0;338;300;352
182;2;-1;-1;-1;1;0;338;300;352
183;2;-1;-1;-1;1;0;338;300;352
184;2;-1;-1;-1;1;0;338;300;352
185;2;-1;-1;-1;1;0;338;300;352
186;2;-1;-1;-1;1;0;338;300;352
187;2;-1;-1;-1;1;0;338;300;352
188;2;-1;-1;-1;1;0;338;300;352
189;0;2;0;0;1;0;338;300;351
190;2;-1;-1;-1;1;0;338;300;351
191;2;-1;-1;-1;1;0;338;300;351
192;2;-1;-1;-1;1;0;338;300;351
193;2;-1;-1;-1;1;0;338;300;351
194;2;-1;-1;-1;1;0;338;300;351
195;2;-1;-1;-1;1;0;338;300;351
196;2;-1;-1;-1;1;0;338;300;351
197;2;-1;-1;-1;1;0;338;300;351
198;2;-1;-1;-1;1;0;338;300;351
199;0;1;0;0;1;0;338;299;351
200;2;-1;-1;-1;1;0;338;299;351
201;2;-1;-1;-1;1;0;338;299;351
202;2;-1;-1;-1;1;0;338;299;351
203;2;-1;-1;-1;1;0;338;299;351
204;2;-1;-1;-1;1;0;338;299;351
205;2;-1;-1;-1;1;0;338;299;351
206;2;-1;-1;-1;1;0;338;299;351
207;2;-1;-1;-1;1;0;338;299;351
208;2;-1;-1;-1;1;0;338;299;351
209;2;-1;-1;-1;1;0;338;299;351
210;2;-1;-1;-1;1;0;338;299;351
211;2;-1;-1;-1;1;0;338;299;351
212;2;-1;-1;-1;1;0;338;299;351
